species,cultivar,location,climatic_classification,climatic_data,year,dormancy_break_field,breaking_dormancy_40_baggiolini,begin_flowering_f5,flowering_f50,flowering_f90,end_flowering,ripening,bud_drop,flower_anomaly,spring_frost_damage,productivity,fruit_quality,rootstock,plantation_framework,training_system,irrigation_system,source,comment
Apricot,Mitger,Zaragoza/Spain,Arid Cold steppe ,Yes,1999,,,,9-Mar,,,,,,,,,seedling,3x5,Spanish bush,Drip irrigation,Own data,
Apricot,Mitger,Zaragoza/Spain,Arid Cold steppe ,Yes,2000,,,,2-Mar,,,,,,,,,seedling,3x5,Spanish bush,Drip irrigation,Own data,
Apricot,Mitger,Zaragoza/Spain,Arid Cold steppe ,Yes,2001,,,,8-Mar,,,,,,,,,seedling,3x5,Spanish bush,Drip irrigation,Own data,
Apricot,Mitger,Zaragoza/Spain,Arid Cold steppe ,Yes,2002,,,,2-Mar,,,,,,,,,seedling,3x5,Spanish bush,Drip irrigation,Own data,
Apricot,Mitger,Zaragoza/Spain,Arid Cold steppe ,Yes,2003,,,,10-Mar,,,,,,,,,seedling,3x5,Spanish bush,Drip irrigation,Own data,
Apricot,Mitger,Zaragoza/Spain,Arid Cold steppe ,Yes,2004,,,,6-Mar,,,,,,,,,seedling,3x5,Spanish bush,Drip irrigation,Own data,
Apricot,Mitger,Zaragoza/Spain,Arid Cold steppe ,Yes,2005,,,,21-Mar,,,,,,,,,seedling,3x5,Spanish bush,Drip irrigation,Own data,
Apricot,Mitger,Zaragoza/Spain,Arid Cold steppe ,Yes,2006,,,,11-Mar,,,,,,,,,seedling,3x5,Spanish bush,Drip irrigation,Own data,
Apricot,Mitger,Zaragoza/Spain,Arid Cold steppe ,Yes,2009,,,,6-Mar,,,,,,,,,seedling,3x5,Spanish bush,Drip irrigation,Own data,
Apricot,Mitger,Zaragoza/Spain,Arid Cold steppe ,Yes,2010,,,,18-Mar,,,,,,,,,seedling,3x5,Spanish bush,Drip irrigation,Own data,
Apricot,Mitger,Zaragoza/Spain,Arid Cold steppe ,Yes,2011,,,,10-Mar,,,,,,,,,seedling,3x5,Spanish bush,Drip irrigation,Own data,
Apricot,Mitger,Zaragoza/Spain,Arid Cold steppe ,Yes,2012,,,,13-Mar,,,,,,,,,seedling,3x5,Spanish bush,Drip irrigation,Own data,
Apricot,Mitger,Zaragoza/Spain,Arid Cold steppe ,Yes,2013,,,,10-Mar,,,,,,,,,seedling,3x5,Spanish bush,Drip irrigation,Own data,
Apricot,Mitger,Zaragoza/Spain,Arid Cold steppe ,Yes,2014,,,,10-Mar,,,,,,,,,seedling,3x5,Spanish bush,Drip irrigation,Own data,
Apricot,Mitger,Zaragoza/Spain,Arid Cold steppe ,Yes,2015,,,,15-Mar,,,,,,,,,seedling,3x5,Spanish bush,Drip irrigation,Own data,
Apricot,Mitger,Zaragoza/Spain,Arid Cold steppe ,Yes,2016,,,,29-Feb,,,,,,,,,seedling,3x5,Spanish bush,Drip irrigation,Own data,
Apricot,Mitger,Zaragoza/Spain,Arid Cold steppe ,Yes,2017,,,,1-Mar,,,,,,,,,seedling,3x5,Spanish bush,Drip irrigation,Own data,
Apricot,Mitger,Zaragoza/Spain,Arid Cold steppe ,Yes,2018,,,,14-Mar,,,,,,,,,seedling,3x5,Spanish bush,Drip irrigation,Own data,
Apricot,Mitger,Zaragoza/Spain,Arid Cold steppe ,Yes,2019,,,,28-Feb,,,,,,,,,seedling,3x5,Spanish bush,Drip irrigation,Own data,
Apricot,Mitger,Zaragoza/Spain,Arid Cold steppe ,Yes,2020,,,,22-Feb,,,,,,,,,seedling,3x5,Spanish bush,Drip irrigation,Own data,
Apricot,Mitger,Zaragoza/Spain,Arid Cold steppe ,Yes,2021,,,,24-Feb,,,,,,,,,seedling,3x5,Spanish bush,Drip irrigation,Own data,
Apricot,Mitger,Zaragoza/Spain,Arid Cold steppe ,Yes,2022,,,,,,,,,,,,,seedling,3x5,Spanish bush,Drip irrigation,Own data,
Apricot,Henderson,Zaragoza/Spain,Arid Cold steppe ,Yes,1999,,,,9-Mar,,,,,,,,,seedling,3x5,Spanish bush,Drip irrigation,Own data,
Apricot,Henderson,Zaragoza/Spain,Arid Cold steppe ,Yes,2000,,,,29-Feb,,,,,,,,,seedling,3x5,Spanish bush,Drip irrigation,Own data,
Apricot,Henderson,Zaragoza/Spain,Arid Cold steppe ,Yes,2001,,,,15-Mar,,,,,,,,,seedling,3x5,Spanish bush,Drip irrigation,Own data,
Apricot,Henderson,Zaragoza/Spain,Arid Cold steppe ,Yes,2002,,,,2-Mar,,,,,,,,,seedling,3x5,Spanish bush,Drip irrigation,Own data,
Apricot,Henderson,Zaragoza/Spain,Arid Cold steppe ,Yes,2003,,,,19-Mar,,,,,,,,,seedling,3x5,Spanish bush,Drip irrigation,Own data,
Apricot,Henderson,Zaragoza/Spain,Arid Cold steppe ,Yes,2004,,,,23-Mar,,,,,,,,,seedling,3x5,Spanish bush,Drip irrigation,Own data,
Apricot,Henderson,Zaragoza/Spain,Arid Cold steppe ,Yes,2005,,,,21-Mar,,,,,,,,,seedling,3x5,Spanish bush,Drip irrigation,Own data,
Apricot,Henderson,Zaragoza/Spain,Arid Cold steppe ,Yes,2006,,,,14-Mar,,,,,,,,,seedling,3x5,Spanish bush,Drip irrigation,Own data,
Apricot,Henderson,Zaragoza/Spain,Arid Cold steppe ,Yes,2009,,,,11-Mar,,,,,,,,,seedling,3x5,Spanish bush,Drip irrigation,Own data,
Apricot,Henderson,Zaragoza/Spain,Arid Cold steppe ,Yes,2010,,,,25-Mar,,,,,,,,,seedling,3x5,Spanish bush,Drip irrigation,Own data,
Apricot,Henderson,Zaragoza/Spain,Arid Cold steppe ,Yes,2011,,,,11-Mar,,,,,,,,,seedling,3x5,Spanish bush,Drip irrigation,Own data,
Apricot,Henderson,Zaragoza/Spain,Arid Cold steppe ,Yes,2012,,,,16-Mar,,,,,,,,,seedling,3x5,Spanish bush,Drip irrigation,Own data,
Apricot,Henderson,Zaragoza/Spain,Arid Cold steppe ,Yes,2013,,,,23-Mar,,,,,,,,,seedling,3x5,Spanish bush,Drip irrigation,Own data,
Apricot,Henderson,Zaragoza/Spain,Arid Cold steppe ,Yes,2014,,,,17-Mar,,,,,,,,,seedling,3x5,Spanish bush,Drip irrigation,Own data,
Apricot,Henderson,Zaragoza/Spain,Arid Cold steppe ,Yes,2015,,,,18-Mar,,,,,,,,,seedling,3x5,Spanish bush,Drip irrigation,Own data,
Apricot,Henderson,Zaragoza/Spain,Arid Cold steppe ,Yes,2016,,,,2-Mar,,,,,,,,,seedling,3x5,Spanish bush,Drip irrigation,Own data,
Apricot,Henderson,Zaragoza/Spain,Arid Cold steppe ,Yes,2017,,,,3-Mar,,,,,,,,,seedling,3x5,Spanish bush,Drip irrigation,Own data,
Apricot,Henderson,Zaragoza/Spain,Arid Cold steppe ,Yes,2018,,,,20-Mar,,,,,,,,,seedling,3x5,Spanish bush,Drip irrigation,Own data,
Apricot,Henderson,Zaragoza/Spain,Arid Cold steppe ,Yes,2019,,,,8-Mar,,,,,,,,,seedling,3x5,Spanish bush,Drip irrigation,Own data,
Apricot,Henderson,Zaragoza/Spain,Arid Cold steppe ,Yes,2020,,,,15-Mar,,,,,,,,,seedling,3x5,Spanish bush,Drip irrigation,Own data,
Apricot,Henderson,Zaragoza/Spain,Arid Cold steppe ,Yes,2021,,,,16-Mar,,,,,,,,,seedling,3x5,Spanish bush,Drip irrigation,Own data,
Apricot,Henderson,Zaragoza/Spain,Arid Cold steppe ,Yes,2022,,,,,,,,,,,,,seedling,3x5,Spanish bush,Drip irrigation,Own data,
Apricot,Peñaflor,Zaragoza/Spain,Arid Cold steppe ,Yes,2004,,,,25-Mar,,,,,,,,,seedling,3x5,Spanish bush,Drip irrigation,Own data,
Apricot,Peñaflor,Zaragoza/Spain,Arid Cold steppe ,Yes,2005,,,,21-Mar,,,,,,,,,seedling,3x5,Spanish bush,Drip irrigation,Own data,
Apricot,Peñaflor,Zaragoza/Spain,Arid Cold steppe ,Yes,2006,,,,14-Mar,,,,,,,,,seedling,3x5,Spanish bush,Drip irrigation,Own data,
Apricot,Peñaflor,Zaragoza/Spain,Arid Cold steppe ,Yes,2009,,,,6-Mar,,,,,,,,,seedling,3x5,Spanish bush,Drip irrigation,Own data,
Apricot,Peñaflor,Zaragoza/Spain,Arid Cold steppe ,Yes,2010,,,,18-Mar,,,,,,,,,seedling,3x5,Spanish bush,Drip irrigation,Own data,
Apricot,Peñaflor,Zaragoza/Spain,Arid Cold steppe ,Yes,2011,,,,6-Mar,,,,,,,,,seedling,3x5,Spanish bush,Drip irrigation,Own data,
Apricot,Peñaflor,Zaragoza/Spain,Arid Cold steppe ,Yes,2012,,,,14-Mar,,,,,,,,,seedling,3x5,Spanish bush,Drip irrigation,Own data,
Apricot,Peñaflor,Zaragoza/Spain,Arid Cold steppe ,Yes,2013,,,,11-Mar,,,,,,,,,seedling,3x5,Spanish bush,Drip irrigation,Own data,
Apricot,Peñaflor,Zaragoza/Spain,Arid Cold steppe ,Yes,2014,,,,12-Mar,,,,,,,,,seedling,3x5,Spanish bush,Drip irrigation,Own data,
Apricot,Peñaflor,Zaragoza/Spain,Arid Cold steppe ,Yes,2015,,,,16-Mar,,,,,,,,,seedling,3x5,Spanish bush,Drip irrigation,Own data,
