"species","cultivar","location","climatic_classification","climatic_data","year","dormancy_break_field","breaking_dormancy_40_baggiolini","begin_flowering_f5","flowering_f50","flowering_f90","end_flowering","ripening","bud_drop","flower_anomaly","spring_frost_damage","productivity","fruit_quality","rootstock","plantation_framework","training_system","irrigation_system","source","comment","country"
"Apricot","Mitger","Zaragoza","Arid Cold steppe ","Yes","1999",NA,NA,NA,1999-03-09,NA,NA,NA,NA,"",NA,NA,NA,"seedling","3x5","Spanish bush","Drip irrigation","Own data","","Spain"
"Apricot","Mitger","Zaragoza","Arid Cold steppe ","Yes","2000",NA,NA,NA,2000-03-02,NA,NA,NA,NA,"",NA,NA,NA,"seedling","3x5","Spanish bush","Drip irrigation","Own data","","Spain"
"Apricot","Mitger","Zaragoza","Arid Cold steppe ","Yes","2001",NA,NA,NA,2001-03-08,NA,NA,NA,NA,"",NA,NA,NA,"seedling","3x5","Spanish bush","Drip irrigation","Own data","","Spain"
"Apricot","Mitger","Zaragoza","Arid Cold steppe ","Yes","2002",NA,NA,NA,2002-03-02,NA,NA,NA,NA,"",NA,NA,NA,"seedling","3x5","Spanish bush","Drip irrigation","Own data","","Spain"
"Apricot","Mitger","Zaragoza","Arid Cold steppe ","Yes","2003",NA,NA,NA,2003-03-10,NA,NA,NA,NA,"",NA,NA,NA,"seedling","3x5","Spanish bush","Drip irrigation","Own data","","Spain"
"Apricot","Mitger","Zaragoza","Arid Cold steppe ","Yes","2004",NA,NA,NA,2004-03-06,NA,NA,NA,NA,"",NA,NA,NA,"seedling","3x5","Spanish bush","Drip irrigation","Own data","","Spain"
"Apricot","Mitger","Zaragoza","Arid Cold steppe ","Yes","2005",NA,NA,NA,2005-03-21,NA,NA,NA,NA,"",NA,NA,NA,"seedling","3x5","Spanish bush","Drip irrigation","Own data","","Spain"
"Apricot","Mitger","Zaragoza","Arid Cold steppe ","Yes","2006",NA,NA,NA,2006-03-11,NA,NA,NA,NA,"",NA,NA,NA,"seedling","3x5","Spanish bush","Drip irrigation","Own data","","Spain"
"Apricot","Mitger","Zaragoza","Arid Cold steppe ","Yes","2009",NA,NA,NA,2009-03-06,NA,NA,NA,NA,"",NA,NA,NA,"seedling","3x5","Spanish bush","Drip irrigation","Own data","","Spain"
"Apricot","Mitger","Zaragoza","Arid Cold steppe ","Yes","2010",NA,NA,NA,2010-03-18,NA,NA,NA,NA,"",NA,NA,NA,"seedling","3x5","Spanish bush","Drip irrigation","Own data","","Spain"
"Apricot","Mitger","Zaragoza","Arid Cold steppe ","Yes","2011",NA,NA,NA,2011-03-10,NA,NA,NA,NA,"",NA,NA,NA,"seedling","3x5","Spanish bush","Drip irrigation","Own data","","Spain"
"Apricot","Mitger","Zaragoza","Arid Cold steppe ","Yes","2012",NA,NA,NA,2012-03-13,NA,NA,NA,NA,"",NA,NA,NA,"seedling","3x5","Spanish bush","Drip irrigation","Own data","","Spain"
"Apricot","Mitger","Zaragoza","Arid Cold steppe ","Yes","2013",NA,NA,NA,2013-03-10,NA,NA,NA,NA,"",NA,NA,NA,"seedling","3x5","Spanish bush","Drip irrigation","Own data","","Spain"
"Apricot","Mitger","Zaragoza","Arid Cold steppe ","Yes","2014",NA,NA,NA,2014-03-10,NA,NA,NA,NA,"",NA,NA,NA,"seedling","3x5","Spanish bush","Drip irrigation","Own data","","Spain"
