"species","cultivar","n","location"
"Almond","Abiodh de Sfax",25,"Sfax"
"Almond","Abiodh Ras Djebel",23,"Sfax"
"Almond","Achaak",25,"Sfax"
"Almond","Avola",23,"Sfax"
"Almond","Bonifacio",23,"Sfax"
"Almond","Bruantine",22,"Sfax"
"Almond","Cavaliera",23,"Sfax"
"Almond","Cristomorto",23,"Sfax"
"Almond","Dorée",22,"Sfax"
"Almond","Faggoussi",23,"Sfax"
"Almond","Fakhfekh",25,"Sfax"
"Almond","Fasciuneddu",22,"Sfax"
"Almond","Ferraduel",23,"Sfax"
"Almond","Ferragnes",38,"Meknes, Sfax"
"Almond","Fournat de Breznaud",22,"Sfax"
"Almond","Garnghzel",21,"Sfax"
"Almond","Genco Taronto",22,"Sfax"
"Almond","Khoukhi",23,"Sfax"
"Almond","Ksontini",25,"Sfax"
"Almond","Languedoc",22,"Sfax"
"Almond","Malaguena",22,"Sfax"
"Almond","Marcona",17,"Meknes"
"Almond","Mazzetto",22,"Sfax"
"Almond","Montrone",22,"Sfax"
"Almond","Ne Plus Ultra",22,"Sfax"
"Almond","Nonpareil",23,"Sfax"
"Almond","Pizzuta",22,"Sfax"
"Almond","Ramlet R249",22,"Sfax"
"Almond","Ramlet R250",22,"Sfax"
"Almond","Soukaret",22,"Sfax"
"Almond","Tarragona",22,"Sfax"
"Almond","Tozeur 1",23,"Sfax"
"Almond","Tozeur 2",24,"Sfax"
"Almond","Tozeur 4",22,"Sfax"
"Almond","Trell",22,"Sfax"
"Almond","Tuono",19,"Meknes"
"Almond","Tuono Taronto",22,"Sfax"
"Almond","Zahaf",25,"Sfax"
"Apricot","Búlida",19,"Cieza"
"Apricot","Canino",27,"Cieza, Zaragoza"
"Apricot","Dorada",18,"Cieza"
"Apricot","Goldrich",29,"Cieza, Zaragoza"
"Apricot","Harcot",22,"Zaragoza"
"Apricot","Henderson",21,"Zaragoza"
"Apricot","Mitger",21,"Zaragoza"
"Apricot","Pandora",22,"Zaragoza"
"Apricot","Pepito del Rubio",27,"Cieza, Zaragoza"
"Apricot","Stark E. Orange",24,"Cieza, Zaragoza"
"Apricot","Sunglo",23,"Zaragoza, Cieza"
"Apricot","Tadeo",22,"Zaragoza"
"Apricot","Veecot",22,"Zaragoza"
"European Plum","Krämer Hauszw.",25,"Klein-Altendorf"
"Japanese Plum","President",20,"Klein-Altendorf"
"Pear","Alexander Lucas",62,"Klein-Altendorf"
"Pear","Conference",59,"Klein-Altendorf"
"Pear","El Dorado",20,"Zaragoza"
"Pear","General Lecrelc ",19,"Zaragoza"
"Pear","Grand Champion",20,"Zaragoza"
"Pear","Highland",20,"Zaragoza"
"Pear","Magness",20,"Zaragoza"
"Pear","Mantecosa Anjou ",20,"Zaragoza"
"Pear","Packham's Triumph",20,"Zaragoza"
"Pear","Pasa Crasana",20,"Zaragoza"
"Pear","Pierre Corneille",20,"Zaragoza"
"Pear","Président Drouard",20,"Zaragoza"
"Pear","Président Heron",20,"Zaragoza"
"Pear","Rogue Red",20,"Zaragoza"
"Pear","Sirrine",20,"Zaragoza"
"Pear","Star",20,"Zaragoza"
"Pistachio","Mateur",22,"Sfax"
"Pistachio","Ohadi",22,"Sfax"
"Sweet Cherry","Ambrunés",24,"Zaragoza"
"Sweet Cherry","Bing",24,"Zaragoza"
"Sweet Cherry","Blanca de Provenza",24,"Zaragoza"
"Sweet Cherry","Burlat",52,"Klein-Altendorf, Zaragoza"
"Sweet Cherry","Chinook",24,"Zaragoza"
"Sweet Cherry","Compact Stella",22,"Zaragoza"
"Sweet Cherry","Corum",24,"Zaragoza"
"Sweet Cherry","Early Van Compact",24,"Zaragoza"
"Sweet Cherry","Garnet",19,"Zaragoza"
"Sweet Cherry","Gilpeck",24,"Zaragoza"
"Sweet Cherry","Hedelfinger",24,"Zaragoza"
"Sweet Cherry","Lambert",24,"Zaragoza"
"Sweet Cherry","Lapins",24,"Zaragoza"
"Sweet Cherry","Marvin",17,"Zaragoza"
"Sweet Cherry","Napoleón",24,"Zaragoza"
"Sweet Cherry","Newstar",21,"Zaragoza"
"Sweet Cherry","Pico Colorado",24,"Zaragoza"
"Sweet Cherry","Pico Negro",24,"Zaragoza"
"Sweet Cherry","Precòce Bernard",24,"Zaragoza"
"Sweet Cherry","Rainier",24,"Zaragoza"
"Sweet Cherry","Ramón Oliva",24,"Zaragoza"
"Sweet Cherry","Regina",32,"Klein-Altendorf"
"Sweet Cherry","Rubi",18,"Zaragoza"
"Sweet Cherry","Sam",24,"Zaragoza"
"Sweet Cherry","Sandom Rose",21,"Zaragoza"
"Sweet Cherry","Santina",22,"Zaragoza"
"Sweet Cherry","Schneiders",32,"Klein-Altendorf"
"Sweet Cherry","Star",22,"Zaragoza"
"Sweet Cherry","Sue",24,"Zaragoza"
"Sweet Cherry","Summit",24,"Zaragoza"
"Sweet Cherry","Sunburst",22,"Zaragoza"
"Sweet Cherry","Sylvia",34,"Klein-Altendorf, Zaragoza"
"Sweet Cherry","Taleguera Brillante",24,"Zaragoza"
"Sweet Cherry","Van",24,"Zaragoza"
"Sweet Cherry","Van-Spur",22,"Zaragoza"
"Sweet Cherry","Vega",24,"Zaragoza"
"Sweet Cherry","Vic",24,"Zaragoza"
