"species","cultivar","location","repetition","split","year","pheno","measurement_type","pred","residual"
"Apricot","Búlida","Cieza",1,"Calibration",2003,67,"flowering_f50",72.2916666666667,5.29166666666667
"Apricot","Búlida","Cieza",1,"Calibration",2005,71,"flowering_f50",75.25,4.25
"Apricot","Búlida","Cieza",1,"Calibration",2006,67,"flowering_f50",66.8333333333333,-0.166666666666671
"Apricot","Búlida","Cieza",1,"Calibration",2007,64,"flowering_f50",66.5416666666667,2.54166666666667
"Apricot","Búlida","Cieza",1,"Calibration",2008,67,"flowering_f50",61.125,-5.875
"Apricot","Búlida","Cieza",1,"Calibration",2009,63,"flowering_f50",61,-2
"Apricot","Búlida","Cieza",1,"Calibration",2011,60,"flowering_f50",66.3333333333333,6.33333333333333
"Apricot","Búlida","Cieza",1,"Calibration",2014,69,"flowering_f50",59.1666666666667,-9.83333333333334
"Apricot","Búlida","Cieza",1,"Calibration",2016,79,"flowering_f50",78.2916666666667,-0.708333333333329
"Apricot","Búlida","Cieza",1,"Calibration",2017,73,"flowering_f50",63.9583333333333,-9.04166666666667
"Apricot","Búlida","Cieza",1,"Calibration",2018,67,"flowering_f50",65.1666666666667,-1.83333333333333
"Apricot","Búlida","Cieza",1,"Calibration",2019,63,"flowering_f50",62,-1
"Apricot","Búlida","Cieza",1,"Calibration",2020,63,"flowering_f50",63.875,0.875
"Apricot","Búlida","Cieza",1,"Calibration",2022,64,"flowering_f50",64,0
"Apricot","Búlida","Cieza",1,"Validation",2004,66,"flowering_f50",66.125,0.125
"Apricot","Búlida","Cieza",1,"Validation",2010,80,"flowering_f50",83.1666666666667,3.16666666666667
"Apricot","Búlida","Cieza",1,"Validation",2012,74,"flowering_f50",74.1666666666667,0.166666666666671
"Apricot","Búlida","Cieza",1,"Validation",2013,68,"flowering_f50",66.3333333333333,-1.66666666666667
"Apricot","Búlida","Cieza",1,"Validation",2015,68,"flowering_f50",65.2916666666667,-2.70833333333333
"Apricot","Canino","Cieza",1,"Calibration",2004,51,"flowering_f50",54.2916666666667,3.29166666666666
"Apricot","Canino","Cieza",1,"Calibration",2006,66,"flowering_f50",64.8333333333333,-1.16666666666667
"Apricot","Canino","Cieza",1,"Calibration",2008,56,"flowering_f50",58.2083333333333,2.20833333333334
"Apricot","Canino","Cieza",1,"Calibration",2009,51,"flowering_f50",50.25,-0.75
"Apricot","Canino","Cieza",1,"Calibration",2013,49,"flowering_f50",49.4583333333333,0.458333333333336
"Apricot","Canino","Cieza",1,"Calibration",2014,58,"flowering_f50",59.0416666666667,1.04166666666666
"Apricot","Canino","Cieza",1,"Calibration",2021,65,"flowering_f50",62.0833333333333,-2.91666666666666
"Apricot","Canino","Zaragoza",1,"Calibration",2004,75,"flowering_f50",68.1666666666667,-6.83333333333333
"Apricot","Canino","Zaragoza",1,"Calibration",2006,67,"flowering_f50",69.4166666666667,2.41666666666667
"Apricot","Canino","Zaragoza",1,"Calibration",2009,61,"flowering_f50",61.2916666666667,0.291666666666664
"Apricot","Canino","Zaragoza",1,"Calibration",2010,67,"flowering_f50",67.1666666666667,0.166666666666671
"Apricot","Canino","Zaragoza",1,"Calibration",2012,69,"flowering_f50",68.125,-0.875
"Apricot","Canino","Zaragoza",1,"Calibration",2014,58,"flowering_f50",62.2916666666667,4.29166666666666
"Apricot","Canino","Zaragoza",1,"Calibration",2016,57,"flowering_f50",60.2916666666667,3.29166666666666
"Apricot","Canino","Zaragoza",1,"Calibration",2017,57,"flowering_f50",56.3333333333333,-0.666666666666664
"Apricot","Canino","Zaragoza",1,"Calibration",2018,67,"flowering_f50",66.0833333333333,-0.916666666666671
"Apricot","Canino","Zaragoza",1,"Calibration",2019,55,"flowering_f50",56.2083333333333,1.20833333333334
"Apricot","Canino","Zaragoza",1,"Calibration",2020,56,"flowering_f50",54.2083333333333,-1.79166666666666
"Apricot","Canino","Zaragoza",1,"Calibration",2021,54,"flowering_f50",51.4583333333333,-2.54166666666666
"Apricot","Canino","Cieza",1,"Validation",2007,59,"flowering_f50",63.7083333333333,4.70833333333333
"Apricot","Canino","Cieza",1,"Validation",2022,54,"flowering_f50",54.25,0.25
"Apricot","Canino","Cieza",1,"Validation",2010,72,"flowering_f50",75.2083333333333,3.20833333333333
"Apricot","Canino","Zaragoza",1,"Validation",2005,77,"flowering_f50",77.25,0.25
"Apricot","Canino","Zaragoza",1,"Validation",2011,61,"flowering_f50",56.625,-4.375
"Apricot","Canino","Zaragoza",1,"Validation",2013,68,"flowering_f50",64.125,-3.875
"Apricot","Canino","Zaragoza",1,"Validation",2015,71,"flowering_f50",67.2916666666667,-3.70833333333333
"Apricot","Canino","Zaragoza",1,"Validation",2022,56,"flowering_f50",54.1666666666667,-1.83333333333334
"Apricot","Dorada","Cieza",1,"Calibration",2003,93,"flowering_f50",87.4583333333333,-5.54166666666667
"Apricot","Dorada","Cieza",1,"Calibration",2005,71,"flowering_f50",80.625,9.625
"Apricot","Dorada","Cieza",1,"Calibration",2006,81,"flowering_f50",75.5,-5.5
"Apricot","Dorada","Cieza",1,"Calibration",2007,81,"flowering_f50",85.4166666666667,4.41666666666667
"Apricot","Dorada","Cieza",1,"Calibration",2008,71,"flowering_f50",69.0833333333333,-1.91666666666667
"Apricot","Dorada","Cieza",1,"Calibration",2009,75,"flowering_f50",66.25,-8.75
"Apricot","Dorada","Cieza",1,"Calibration",2010,70,"flowering_f50",85.0416666666667,15.0416666666667
"Apricot","Dorada","Cieza",1,"Calibration",2012,67,"flowering_f50",79.2916666666667,12.2916666666667
"Apricot","Dorada","Cieza",1,"Calibration",2014,78,"flowering_f50",74.2916666666667,-3.70833333333333
"Apricot","Dorada","Cieza",1,"Calibration",2015,85,"flowering_f50",76.25,-8.75
"Apricot","Dorada","Cieza",1,"Calibration",2016,86,"flowering_f50",86.0416666666667,0.0416666666666714
"Apricot","Dorada","Cieza",1,"Calibration",2017,71,"flowering_f50",70.3333333333333,-0.666666666666671
"Apricot","Dorada","Cieza",1,"Calibration",2019,71,"flowering_f50",71.25,0.25
"Apricot","Dorada","Cieza",1,"Validation",2004,88,"flowering_f50",78.8333333333333,-9.16666666666667
"Apricot","Dorada","Cieza",1,"Validation",2022,87,"flowering_f50",73.75,-13.25
"Apricot","Dorada","Cieza",1,"Validation",2018,81,"flowering_f50",74.1666666666667,-6.83333333333333
"Apricot","Dorada","Cieza",1,"Validation",2011,70,"flowering_f50",73.5,3.5
"Apricot","Dorada","Cieza",1,"Validation",2013,85,"flowering_f50",67.4583333333333,-17.5416666666667
"Apricot","Goldrich","Cieza",1,"Calibration",2008,72,"flowering_f50",68.125,-3.875
"Apricot","Goldrich","Cieza",1,"Calibration",2012,70,"flowering_f50",75.0833333333333,5.08333333333333
"Apricot","Goldrich","Cieza",1,"Calibration",2013,76,"flowering_f50",68.375,-7.625
"Apricot","Goldrich","Cieza",1,"Calibration",2014,80,"flowering_f50",68.9583333333333,-11.0416666666667
"Apricot","Goldrich","Cieza",1,"Calibration",2015,72,"flowering_f50",68.4166666666667,-3.58333333333333
"Apricot","Goldrich","Cieza",1,"Calibration",2021,69,"flowering_f50",74.375,5.375
"Apricot","Goldrich","Zaragoza",1,"Calibration",1999,62,"flowering_f50",61.375,-0.625
"Apricot","Goldrich","Zaragoza",1,"Calibration",2000,57,"flowering_f50",55.2916666666667,-1.70833333333334
"Apricot","Goldrich","Zaragoza",1,"Calibration",2001,66,"flowering_f50",61.0833333333333,-4.91666666666666
"Apricot","Goldrich","Zaragoza",1,"Calibration",2002,58,"flowering_f50",59.3333333333333,1.33333333333334
"Apricot","Goldrich","Zaragoza",1,"Calibration",2004,73,"flowering_f50",71.5416666666667,-1.45833333333333
"Apricot","Goldrich","Zaragoza",1,"Calibration",2009,61,"flowering_f50",60.0416666666667,-0.958333333333336
"Apricot","Goldrich","Zaragoza",1,"Calibration",2011,61,"flowering_f50",61.0833333333333,0.0833333333333357
"Apricot","Goldrich","Zaragoza",1,"Calibration",2013,69,"flowering_f50",65.625,-3.375
"Apricot","Goldrich","Zaragoza",1,"Calibration",2014,56,"flowering_f50",65.2083333333333,9.20833333333333
"Apricot","Goldrich","Zaragoza",1,"Calibration",2015,71,"flowering_f50",70.9583333333333,-0.0416666666666714
"Apricot","Goldrich","Zaragoza",1,"Calibration",2016,55,"flowering_f50",64.4166666666667,9.41666666666667
"Apricot","Goldrich","Zaragoza",1,"Calibration",2017,55,"flowering_f50",57.3333333333333,2.33333333333334
"Apricot","Goldrich","Zaragoza",1,"Calibration",2018,67,"flowering_f50",69.25,2.25
"Apricot","Goldrich","Zaragoza",1,"Calibration",2020,51,"flowering_f50",59.5,8.5
"Apricot","Goldrich","Zaragoza",1,"Calibration",2021,51,"flowering_f50",55.25,4.25
"Apricot","Goldrich","Cieza",1,"Validation",2011,59,"flowering_f50",59.125,0.125
"Apricot","Goldrich","Cieza",1,"Validation",2007,71,"flowering_f50",94.125,23.125
"Apricot","Goldrich","Zaragoza",1,"Validation",2003,67,"flowering_f50",69.1666666666667,2.16666666666667
"Apricot","Goldrich","Zaragoza",1,"Validation",2005,77,"flowering_f50",79.6666666666667,2.66666666666667
"Apricot","Goldrich","Zaragoza",1,"Validation",2006,67,"flowering_f50",70.875,3.875
"Apricot","Goldrich","Zaragoza",1,"Validation",2010,70,"flowering_f50",74.0833333333333,4.08333333333333
"Apricot","Goldrich","Zaragoza",1,"Validation",2012,69,"flowering_f50",73.375,4.375
"Apricot","Goldrich","Zaragoza",1,"Validation",2019,59,"flowering_f50",60.125,1.125
"Apricot","Pepito del Rubio","Cieza",1,"Calibration",2004,70,"flowering_f50",71.3333333333333,1.33333333333333
"Apricot","Pepito del Rubio","Cieza",1,"Calibration",2006,63,"flowering_f50",62.1666666666667,-0.833333333333336
"Apricot","Pepito del Rubio","Cieza",1,"Calibration",2007,61,"flowering_f50",62.375,1.375
"Apricot","Pepito del Rubio","Cieza",1,"Calibration",2008,67,"flowering_f50",66.0833333333333,-0.916666666666671
"Apricot","Pepito del Rubio","Cieza",1,"Calibration",2013,69,"flowering_f50",67,-2
"Apricot","Pepito del Rubio","Cieza",1,"Calibration",2015,67,"flowering_f50",60.9166666666667,-6.08333333333334
