"DATE","YEARMODA","Year","Month","Day","Tmin","Tmax","Tmin_source","Tmax_source","no_Tmin","no_Tmax"
1958-01-01,195811,1958,1,1,5,7.5,NA,NA,FALSE,FALSE
1958-01-02,195812,1958,1,2,1.5,9,NA,NA,FALSE,FALSE
1958-01-03,195813,1958,1,3,-5.5,1.1,NA,NA,FALSE,FALSE
1958-01-04,195814,1958,1,4,-5.5,0.5,NA,NA,FALSE,FALSE
1958-01-05,195815,1958,1,5,3.5,2.75,NA,NA,FALSE,TRUE
1958-01-06,195816,1958,1,6,3,5,NA,NA,FALSE,FALSE
1958-01-07,195817,1958,1,7,0,11.5,NA,NA,FALSE,FALSE
1958-01-08,195818,1958,1,8,0.833333333,11.5,NA,NA,TRUE,FALSE
1958-01-09,195819,1958,1,9,1.666666667,11.5,NA,NA,TRUE,FALSE
1958-02-01,195821,1958,2,1,-1,5.5,NA,NA,FALSE,FALSE
1958-02-02,195822,1958,2,2,-1,5.5,NA,NA,FALSE,FALSE
1958-02-03,195823,1958,2,3,-1,5.5,NA,NA,TRUE,TRUE
1958-02-04,195824,1958,2,4,-1,5,NA,NA,FALSE,FALSE
1958-02-05,195825,1958,2,5,0,6,NA,NA,FALSE,FALSE
1958-02-06,195826,1958,2,6,0.5,7,NA,NA,FALSE,FALSE
1958-02-07,195827,1958,2,7,-4.2,7,NA,NA,FALSE,TRUE
1958-02-08,195828,1958,2,8,-3,1.5,NA,NA,FALSE,FALSE
1958-02-09,195829,1958,2,9,-3,5.833333333,NA,NA,FALSE,FALSE
1958-03-01,195831,1958,3,1,-7.5,2.5,NA,NA,FALSE,FALSE
1958-03-02,195832,1958,3,2,-4,4.4,NA,NA,FALSE,FALSE
1958-03-03,195833,1958,3,3,-4.5,5,NA,NA,FALSE,FALSE
1958-03-04,195834,1958,3,4,0,2.5,NA,NA,FALSE,FALSE
1958-03-05,195835,1958,3,5,0,7,NA,NA,FALSE,FALSE
1958-03-06,195836,1958,3,6,4.5,7.5,NA,NA,FALSE,FALSE
1958-03-07,195837,1958,3,7,-4,5.5,NA,NA,FALSE,FALSE
1958-03-08,195838,1958,3,8,-2,3,NA,NA,TRUE,TRUE
1958-03-09,195839,1958,3,9,-3,3,NA,NA,TRUE,FALSE
1958-04-01,195841,1958,4,1,-3.5,8,NA,NA,FALSE,FALSE
1958-04-02,195842,1958,4,2,-2.5,8,NA,NA,FALSE,FALSE
1958-04-03,195843,1958,4,3,6.5,11.5,NA,NA,FALSE,FALSE
1958-04-04,195844,1958,4,4,3,16,NA,NA,FALSE,FALSE
1958-04-05,195845,1958,4,5,-0.5,12,NA,NA,FALSE,FALSE
1958-04-06,195846,1958,4,6,2,7.5,NA,NA,TRUE,TRUE
1958-04-07,195847,1958,4,7,0,6.5,NA,NA,TRUE,FALSE
1958-04-08,195848,1958,4,8,-1.5,7.5,NA,NA,FALSE,FALSE
1958-04-09,195849,1958,4,9,-2,6.5,NA,NA,FALSE,FALSE
1958-05-01,195851,1958,5,1,5.5,19.5,NA,NA,FALSE,FALSE
1958-05-02,195852,1958,5,2,8.5,21.3,NA,NA,FALSE,FALSE
1958-05-03,195853,1958,5,3,2.5,16,NA,NA,FALSE,FALSE
1958-05-04,195854,1958,5,4,4,15.3,NA,NA,FALSE,TRUE
1958-05-05,195855,1958,5,5,13.4,24.8,NA,NA,TRUE,TRUE
1958-05-06,195856,1958,5,6,9.1,17.4,NA,NA,FALSE,FALSE
1958-05-07,195857,1958,5,7,9.3,18.3,NA,NA,FALSE,FALSE
1958-05-08,195858,1958,5,8,12,21.2,NA,NA,FALSE,FALSE
1958-05-09,195859,1958,5,9,14.5,22.3,NA,NA,FALSE,FALSE
1958-06-01,195861,1958,6,1,10.7,24.7,NA,NA,FALSE,FALSE
1958-06-02,195862,1958,6,2,13,26.8,NA,NA,FALSE,FALSE
1958-06-03,195863,1958,6,3,10,18.2,NA,NA,FALSE,FALSE
1958-06-04,195864,1958,6,4,9.5,13.9,NA,NA,FALSE,FALSE
1958-06-05,195865,1958,6,5,8,19.9,NA,NA,FALSE,FALSE
1958-06-06,195866,1958,6,6,12.4,22.9,NA,NA,FALSE,FALSE
1958-06-07,195867,1958,6,7,7.8,22.6,NA,NA,FALSE,FALSE
1958-06-08,195868,1958,6,8,10.6,22.2,NA,NA,FALSE,FALSE
1958-06-09,195869,1958,6,9,10.7,18.5,NA,NA,FALSE,FALSE
1958-07-01,195871,1958,7,1,15,25.8,NA,NA,FALSE,FALSE
1958-07-02,195872,1958,7,2,11.7,18.7,NA,NA,FALSE,FALSE
1958-07-03,195873,1958,7,3,9.5,18.6,NA,NA,FALSE,FALSE
1958-07-04,195874,1958,7,4,13.1,20.1,NA,NA,FALSE,FALSE
1958-07-05,195875,1958,7,5,13,19.5,NA,NA,FALSE,FALSE
1958-07-06,195876,1958,7,6,12.7,19.2,NA,NA,FALSE,FALSE
1958-07-07,195877,1958,7,7,12.8,15.8,NA,NA,FALSE,FALSE
1958-07-08,195878,1958,7,8,9.6,19.2,NA,NA,FALSE,FALSE
1958-07-09,195879,1958,7,9,12.3,24.2,NA,NA,FALSE,FALSE
1958-08-01,195881,1958,8,1,11.2,28.4,NA,NA,FALSE,FALSE
1958-08-02,195882,1958,8,2,8,21,NA,NA,FALSE,FALSE
1958-08-03,195883,1958,8,3,8,23.8,NA,NA,FALSE,FALSE
1958-08-04,195884,1958,8,4,12.9,20.8,NA,NA,FALSE,FALSE
1958-08-05,195885,1958,8,5,15.7,23.7,NA,NA,FALSE,FALSE
1958-08-06,195886,1958,8,6,10.5,21,NA,NA,FALSE,FALSE
1958-08-07,195887,1958,8,7,11.4,19.5,NA,NA,FALSE,FALSE
1958-08-08,195888,1958,8,8,15.5,21.4,NA,NA,FALSE,FALSE
1958-08-09,195889,1958,8,9,14.3,22.4,NA,NA,TRUE,TRUE
1958-09-01,195891,1958,9,1,11,24.3,NA,NA,FALSE,FALSE
1958-09-02,195892,1958,9,2,12.4,24.2,NA,NA,FALSE,FALSE
1958-09-03,195893,1958,9,3,11,22.6,NA,NA,FALSE,FALSE
1958-09-04,195894,1958,9,4,11.5,23.3,NA,NA,FALSE,FALSE
1958-09-05,195895,1958,9,5,13.1,25.4,NA,NA,FALSE,FALSE
1958-09-06,195896,1958,9,6,15,29,NA,NA,FALSE,FALSE
1958-09-07,195897,1958,9,7,14,27.3,NA,NA,FALSE,FALSE
1958-09-08,195898,1958,9,8,11.4,22.2,NA,NA,FALSE,FALSE
1958-09-09,195899,1958,9,9,13,20.4,NA,NA,FALSE,FALSE
1959-01-01,195911,1959,1,1,3.290909091,8.109090909,NA,NA,FALSE,FALSE
1959-01-02,195912,1959,1,2,3.6,8,NA,NA,FALSE,FALSE
1959-01-03,195913,1959,1,3,2,5.2,NA,NA,FALSE,FALSE
