"DATE","YEARMODA","Day","Month","Year","Tmin","Tmax"
1958-01-01,195811,1,1,1958,5,7.5
1958-01-02,195812,2,1,1958,1.5,9
1958-01-03,195813,3,1,1958,-5.5,1.1
1958-01-04,195814,4,1,1958,-5.5,0.5
1958-01-05,195815,5,1,1958,3.5,2.75
1958-01-06,195816,6,1,1958,3,5
1958-01-07,195817,7,1,1958,0,11.5
1958-01-08,195818,8,1,1958,0.833333333,11.5
1958-01-09,195819,9,1,1958,1.666666667,11.5
1958-01-10,1958110,10,1,1958,2.5,7
1958-01-11,1958111,11,1,1958,1.5,7
1958-01-12,1958112,12,1,1958,0.75,7
1958-01-13,1958113,13,1,1958,0,7
1958-01-14,1958114,14,1,1958,0,4.5
1958-01-15,1958115,15,1,1958,0,7
1958-01-16,1958116,16,1,1958,-0.5,5.5
1958-01-17,1958117,17,1,1958,-1,4
1958-01-18,1958118,18,1,1958,2.5,5.5
1958-01-19,1958119,19,1,1958,0,6.5
1958-01-20,1958120,20,1,1958,-1.5,2
1958-01-21,1958121,21,1,1958,-2.5,2.5
1958-01-22,1958122,22,1,1958,-2.5,2.5
1958-01-23,1958123,23,1,1958,-5.5,2
1958-01-24,1958124,24,1,1958,-6,2
1958-01-25,1958125,25,1,1958,-7,2
1958-01-26,1958126,26,1,1958,-5.166666667,2.25
1958-01-27,1958127,27,1,1958,-3.333333333,2.5
1958-01-28,1958128,28,1,1958,-1.5,2.5
1958-01-29,1958129,29,1,1958,-2.5,3
1958-01-30,1958130,30,1,1958,-3,5
1958-01-31,1958131,31,1,1958,-0.5,8.5
1958-02-01,195821,1,2,1958,-1,5.5
1958-02-02,195822,2,2,1958,-1,5.5
1958-02-03,195823,3,2,1958,-1,5.5
1958-02-04,195824,4,2,1958,-1,5
1958-02-05,195825,5,2,1958,0,6
1958-02-06,195826,6,2,1958,0.5,7
1958-02-07,195827,7,2,1958,-4.2,7
1958-02-08,195828,8,2,1958,-3,1.5
1958-02-09,195829,9,2,1958,-3,5.833333333
1958-02-10,1958210,10,2,1958,2.75,10.16666667
1958-02-11,1958211,11,2,1958,8.5,14.5
1958-02-12,1958212,12,2,1958,8,14.5
1958-02-13,1958213,13,2,1958,5.5,12.5
1958-02-14,1958214,14,2,1958,4.5,12
1958-02-15,1958215,15,2,1958,10.5,16
1958-02-16,1958216,16,2,1958,10,15
1958-02-17,1958217,17,2,1958,3,13
1958-02-18,1958218,18,2,1958,-1.5,4
1958-02-19,1958219,19,2,1958,-2.5,2
1958-02-20,1958220,20,2,1958,-2.6,3
1958-02-21,1958221,21,2,1958,2.5,6
1958-02-22,1958222,22,2,1958,-1,4
1958-02-23,1958223,23,2,1958,-1.5,4
1958-02-24,1958224,24,2,1958,-2.5,7
1958-02-25,1958225,25,2,1958,1,9
1958-02-26,1958226,26,2,1958,-4.5,11
1958-02-27,1958227,27,2,1958,-12.2,-4
1958-02-28,1958228,28,2,1958,-10.5,-1
1958-03-01,195831,1,3,1958,-7.5,2.5
1958-03-02,195832,2,3,1958,-4,4.4
1958-03-03,195833,3,3,1958,-4.5,5
1958-03-04,195834,4,3,1958,0,2.5
1958-03-05,195835,5,3,1958,0,7
1958-03-06,195836,6,3,1958,4.5,7.5
1958-03-07,195837,7,3,1958,-4,5.5
1958-03-08,195838,8,3,1958,-2,3
1958-03-09,195839,9,3,1958,-3,3
1958-03-10,1958310,10,3,1958,-8,3
1958-03-11,1958311,11,3,1958,-9,1
1958-03-12,1958312,12,3,1958,-7.5,0
1958-03-13,1958313,13,3,1958,-5.5,2.5
1958-03-14,1958314,14,3,1958,-3.5,5
1958-03-15,1958315,15,3,1958,-5.5,5.5
1958-03-16,1958316,16,3,1958,-5.5,4.5
1958-03-17,1958317,17,3,1958,-4.5,2
1958-03-18,1958318,18,3,1958,-5,3.5
1958-03-19,1958319,19,3,1958,-4.5,3
1958-03-20,1958320,20,3,1958,-3,1
1958-03-21,1958321,21,3,1958,-3.5,1
1958-03-22,1958322,22,3,1958,-7.5,0
1958-03-23,1958323,23,3,1958,-8,0
1958-03-24,1958324,24,3,1958,-7.5,1
1958-03-25,1958325,25,3,1958,-0.5,6
1958-03-26,1958326,26,3,1958,3.5,10
1958-03-27,1958327,27,3,1958,4,9
1958-03-28,1958328,28,3,1958,7.5,16
1958-03-29,1958329,29,3,1958,6.5,16.5
1958-03-30,1958330,30,3,1958,1.5,15
1958-03-31,1958331,31,3,1958,3,16.5
1958-04-01,195841,1,4,1958,-3.5,8
1958-04-02,195842,2,4,1958,-2.5,8
1958-04-03,195843,3,4,1958,6.5,11.5
1958-04-04,195844,4,4,1958,3,16
1958-04-05,195845,5,4,1958,-0.5,12
1958-04-06,195846,6,4,1958,2,7.5
1958-04-07,195847,7,4,1958,0,6.5
1958-04-08,195848,8,4,1958,-1.5,7.5
1958-04-09,195849,9,4,1958,-2,6.5
1958-04-10,1958410,10,4,1958,-3.5,6.5
1958-04-11,1958411,11,4,1958,-4,6.5
1958-04-12,1958412,12,4,1958,-2.5,7
1958-04-13,1958413,13,4,1958,-1,13
1958-04-14,1958414,14,4,1958,5,16.5
1958-04-15,1958415,15,4,1958,3,14
