"chillR_code","STATION.NAME","CTRY","Lat","Long","BEGIN","END","distance"
"164800_99999","COZZO SPADARO","IT",36.683,15.133,19660101,20210206,167.21
"164220_99999","REGGIO CALABRIA","IT",38.071,15.652,19730101,20210206,175.75
"164600_99999","CATANIA FONTANAROSSA","IT",37.467,15.066,19431028,20210206,181.91
"164590_99999","CATANIA/SIGONELLA","IT",37.4,14.917,19430810,20210206,192.16
"164200_99999","MESSINA","IT",38.2,15.55,19310101,20210206,192.37
"163640_99999","SERRALTA DI S. VITO","IT",38.75,16.367,19730101,20210206,212.67
"163500_99999","CROTONE","IT",38.997,17.08,19570701,20210206,233.11
"164530_99999","GELA","IT",37.083,14.217,19430902,20210206,247.46
"164500_99999","ENNA","IT",37.567,14.283,19730101,20210206,251.18
"165970_99999","LUQA","MT",35.857,14.478,19310104,20210206,253.06
"164160_99999","ISOLA STROMBOLI","IT",38.8,15.233,19730101,20210206,261.52
"163440_99999","MONTE SCURO","IT",39.333,16.4,19730101,20210206,275.13
"163370_99999","BONIFATI (CAPE)","IT",39.583,15.883,19650201,20210206,313.3
"164340_99999","PRIZZI","IT",37.717,13.433,19730101,20210205,327.91
"166850_99999","KEFALLINIA","GR",38.12,20.5,19651204,20210206,338.86
"163600_99999","SANTA MARIA DI LEUC","IT",39.817,18.35,19650201,20210206,345.19
"164360_99999","SCIACCA","IT",37.517,13.083,19431010,20210206,353.29
"164050_99999","PALERMO","IT",38.176,13.091,19640811,20210206,372.38
"163100_99999","CAPE PALINURO","IT",40.017,15.283,19640811,20210206,376.79
"163340_99999","OTRANTO","IT",40.1,18.483,19730101,20210206,378.6
"163320_99999","LECCE","IT",40.239,18.133,19431231,20210206,384.06
"164000_99999","USTICA ISLAND","IT",38.7,13.183,19570701,20210206,390.14
"163250_99999","MARINA DI GINOSA","IT",40.433,16.883,19670317,20210206,392.51
"166410_99999","IOANNIS KAPODISTRIAS INTL","GR",39.602,19.912,19321101,20210206,394.44
"166820_99999","ANDRAVIDA","GR",37.921,21.293,19650424,20210206,397.7
"166430_99999","AKTIO","GR",38.925,20.765,19730101,20210206,401.16
"163240_99999","GROTTAGLIE","IT",40.518,17.403,19430927,20210206,403.47
"164290_99999","TRAPANI BIRGI","IT",37.911,12.488,19650201,20210206,413.86
"163180_99999","MARTINA FRANCA","IT",40.633,17.217,19730915,20210201,415.09
"166870_99999","ARAXOS","GR",38.151,21.426,19420101,20210206,416.23
"167340_99999","METHONI","GR",36.833,21.7,19340201,20210206,420.25
"164900_99999","LAMPEDUSA","IT",35.498,12.618,19660104,20210206,422.5
"163200_99999","CASALE","IT",40.658,17.947,19431129,20210206,425.63
"163120_99999","GIOIA DEL COLLE","IT",40.768,16.933,19440229,20210206,429.63
"136230_99999","SAZAN ISLAND","AL",40.5,19.283,19330516,20210206,446.9
"164700_99999","PANTELLERIA","IT",36.817,11.969,19430620,20210206,447.55
"136250_99999","GJIROKASTRA","AL",40.083,20.15,19560101,20210206,448.4
"167260_99999","KALAMATA","GR",37.068,22.026,19730512,20210206,448.95
"136220_99999","VLORE","AL",40.467,19.483,19601002,20210206,451.74
"166420_99999","IOANNINA (AIRPORT)","GR",39.7,20.817,19321101,20210206,457.03
"162940_99999","CAPRI ISLAND","IT",40.55,14.25,19730101,20210206,470.05
"162700_99999","BARI","IT",41.133,16.767,19431207,20210206,470.53
"162630_99999","TREVICO","IT",41.05,15.233,19730101,20210206,485.31
"167100_99999","TRIPOLIS","GR",37.531,22.404,19321101,20210206,485.83
"136240_99999","QYTETI STALIN","AL",40.8,19.9,19730106,20210206,501.48
"162600_99999","GINA LISA","IT",41.433,15.533,19570701,20210206,518.88
"136290_99999","KORCA","AL",40.6,20.767,19560101,20210206,526.04
"162530_99999","GRAZZANISE","IT",41.061,14.082,19440331,20210206,526.18
"607200_99999","KELIBIA","TS",36.85,11.083,19430524,20210206,526.36
"162610_99999","AMENDOLA","IT",41.541,15.718,19440131,20210206,526.96
"166750_99999","LAMIA","GR",38.883,22.433,19321101,20210206,527.13
"136110_99999","DURRES","AL",41.3,19.45,19730106,20210206,533.04
"162580_99999","MONTE S. ANGELO","IT",41.7,15.95,19730101,20210206,540.56
"167430_99999","KITHIRA","GR",36.274,23.017,19330101,20210205,543.95
"620160_99999","MISURATA","LY",32.243,15.021,19490129,20210206,546.98
"136150_99999","TIRANA RINAS","AL",41.415,19.721,19560101,20210206,554.26
"162520_99999","CAMPOBASSO","IT",41.567,14.65,19650201,20210206,556.18
"162660_99999","VIESTE","IT",41.883,16.167,19730101,20210206,557.92
"166320_99999","FILIPPOS","GR",40.286,21.841,19380103,20210206,565.74
"162800_99999","PONZA ISLAND","IT",40.917,12.95,19650201,20210206,567.02
"166480_99999","LARISA","GR",39.65,22.466,19321101,20210206,568.29
"166650_99999","NEA ANCHIALOS","GR",39.22,22.794,19651204,20210206,570.91
"135780_99999","OHRID","MK",41.18,20.742,19730105,20210206,575.75
"607400_99999","MONASTIR-SKANES","TS",35.667,10.75,19430602,20210206,576.65
"166130_99999","FLORINA","GR",40.783,21.4,19321101,20210206,576.7
"162320_99999","TERMOLI","IT",42,15,19730101,20210206,591.65
"167180_99999","ELEFSIS","GR",38.064,23.556,19651204,20210206,595.08
"135830_99999","BITOLA","MK",41.05,21.367,19730101,20210206,596.9
"166990_99999","TANAGRA","GR",38.34,23.565,19651204,20210206,602.21
"607150_99999","CARTHAGE","TS",36.851,10.227,19430608,20210206,602.62
"135770_99999","LAZAROPOLE","MK",41.533,20.7,19730102,20210206,606.14
"167160_99999","ATHINAI","GR",37.882,23.735,19490301,20210206,607.3
"136190_99999","PESHKOPI","AL",41.683,20.433,19730106,20210206,608.61
"620530_99999","BENINA AIRPORT","LY",32.097,20.269,19431031,20210206,611.86
"162440_99999","FROSINONE (IT-AFB)","IT",41.633,13.3,19730101,20210205,614.33
"167150_99999","TATOI","GR",38.109,23.784,19660804,20210206,615.66
"136000_99999","SHKODRA","AL",42.1,19.533,19560101,20210206,617.58
"607500_99999","THYNA","TS",34.718,10.691,19490108,20210206,618.17
"162430_99999","LATINA","IT",41.542,12.909,19440301,20210205,624.19
"135850_99999","PRILEP","MK",41.333,21.567,19360102,20210206,631.68
"620190_99999","SIRTE","LY",31.2,16.583,19490130,20210206,633.16
"607350_99999","KAIROUAN","TS",35.667,10.1,19490108,20210206,633.5
"134620_99999","PODGORICA / GOLUBOVCI","MJ",42.367,19.25,19520101,20210206,637.45
"607140_99999","SIDI AHMED AIR BASE","TS",37.245,9.791,19430805,20210206,640.95
"136100_99999","KUKES","AL",42.033,20.417,19730106,20210206,641.82
"607690_99999","ZARZIS","TS",33.875,10.775,19660722,20210206,656.34
"166220_99999","MAKEDONIA","GR",40.52,22.971,19600701,20210206,657.4
"162450_99999","PRATICA DI MARE","IT",41.659,12.445,19660923,20210206,657.79
"162300_99999","PESCARA","IT",42.432,14.181,19650201,20210206,659.81
